session,session_date,session_time,participant,sliders_correct,dict_treatment,dict_group_uid,dict_id_in_group,dict_attempt_1,dict_attempt_2,dict_attempt_3,dict_ans_check,dict_group_give,dict_group_die_1,dict_group_die_2,dict_payoff,dict_gachter_circles,bret_boxes_collected,bret_bomb,bret_payoff,svo_group_uid,svo_role,svo_1,svo_2,svo_3,svo_4,svo_5,svo_6,svo_mean_self,svo_mean_other,svo_score,svo_classification,svo_paid_choice,svo_payoff,risque_general,risque_sante,risque_argent,patience,confiance_autres,confiance_autres_general,confiance_autres_famille,confiance_autres_travail,year_of_birth,gender,nationality,marital_status,student,study_level,study_discipline,socioprofessional_group,politique,experiment_participation,part2_selected_task,comments,final_payoff
t7l852vx,2023-06-06,14:04:26.809901,01aztlhr,19,1,s24g3,2,1.0,2.0,0.0,2,5,2,0,15.0,5.0,33,True,0.0,s24g5,1,0,8,8,7,0,8,89.333,63.5,18.943,individualist,2.0,100.0,6,3,6,7,0,2,8,2,2001,1,FR,0,True,2,6,,6,True,1,,15.0
ql3gbopg,2022-02-28,14:38:37.643253,0537bu1g,20,0,s20g4,1,,,,0,10,0,0,20.0,,25,False,2.5,s20g4,1,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,5.0,75.0,3,8,6,5,1,5,8,8,1995,0,FR,0,False,5,7,4.0,4,True,2,,23.75
zknsvvur,2021-10-07,14:05:12.224111,08okh1t9,19,3,s31g9,1,1.0,0.0,2.0,2,5,1,0,15.0,,80,True,0.0,s31g7,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,1.0,85.0,6,5,6,9,1,7,7,5,1996,0,AZ,0,True,6,6,,3,True,2,,19.25
vrmpn3zv,2023-10-05,14:08:38.057368,08zxjru9,20,2,s29g10,2,0.0,0.0,1.0,0,10,1,0,10.0,2.0,7,False,0.7,s29g10,1,8,8,8,8,0,0,92.5,44.167,-7.815,individualist,5.0,100.0,7,9,6,6,0,4,8,5,1999,0,SN,0,True,4,6,,2,False,1,,10.7
qpboszoi,2023-09-11,14:35:06.962048,09rycm1y,38,2,s21g3,2,0.0,0.0,1.0,0,10,6,0,30.0,3.0,15,False,1.5,s21g4,2,0,8,8,0,8,0,78.333,78.333,45.0,prosocial,3.0,85.0,4,7,3,6,0,5,9,3,2004,0,FR,0,True,1,8,,4,True,1,,31.5
9la3iku5,2023-06-05,14:05:06.326239,0cb8ko96,20,3,s6g2,2,2.0,1.0,1.0,2,0,2,0,20.0,1.0,80,True,0.0,s6g2,1,0,8,8,3,2,0,86.833,66.833,24.561,prosocial,1.0,85.0,8,9,8,6,0,2,1,5,1997,0,FR,0,True,0,8,,0,True,2,,24.25
iska0u63,2023-06-05,15:33:09.910306,0ewtdllr,20,0,s12g3,1,,,,0,4,0,0,26.0,1.0,49,True,0.0,s12g2,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,5.0,75.0,7,1,7,8,1,5,9,3,1999,1,FR,0,True,4,23,,6,True,1,"Dommage pour la bombe, il n'y a aucun contrôle.  Pour la partie 1 qu'est ce que l'on mesure ? Il est vrai que l'autre individu je ne le connais pas et je lui ai envoyé 4e    4 tirages au sort, c'est bien cela ?",26.0
qq90voxd,2021-09-24,09:45:54.478699,0fllv8ua,20,1,s22g4,2,2.0,2.0,2.0,0,5,2,0,15.0,,60,True,0.0,s22g3,2,0,8,8,8,0,8,90.0,61.667,16.261,individualist,3.0,85.0,4,8,3,8,0,4,10,3,1999,0,FR,0,True,5,6,,4,True,1,,15.0
bgvzfud6,2023-06-06,15:44:36.327318,0kocszk7,20,2,s7g6,1,1.0,2.0,0.0,3,5,6,0,25.0,2.0,80,True,0.0,s7g6,1,0,8,8,8,3,0,89.333,59.0,12.888,individualist,6.0,100.0,7,5,6,5,0,5,5,5,2001,1,FR,0,True,3,6,,3,True,2,,30.0
9hkdzuk6,2021-12-02,11:12:19.746962,0mkrujgi,20,1,s5g2,2,0.0,0.0,2.0,2,0,5,0,10.0,,80,False,8.0,s5g2,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,2.0,50.0,2,3,2,2,0,1,3,7,1999,1,MA,0,True,4,9,,5,True,1,,18.0
ccxcrzzr,2021-10-14,09:04:30.416988,0oqlp1bs,20,3,s8g5,1,1.0,1.0,0.0,0,10,3,0,10.0,,75,True,0.0,s8g6,2,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,2.0,50.0,7,7,4,10,1,7,9,6,2003,0,CZ,0,True,0,3,,8,False,1,,10.0
yqf918j3,2023-09-11,13:05:09.675421,0r0n257s,40,1,s30g5,2,2.0,2.0,2.0,0,2,6,0,12.0,6.0,75,True,0.0,s30g3,2,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,6.0,50.0,7,7,5,8,0,3,3,2,2004,0,FR,0,True,0,6,,4,False,2,,14.5
